;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_name/find_buildings_select_tool;Find All Buildings Tool;;Инструмент улучшения всех зданий;;;;;;;
gui/hud/building_description/find_buildings_select_tool;This tool allows Mr. Riggs to enter building find mode. While it's active, Mr. Riggs will apply the next available level of finds to all buildings over the map.;;Этот инструмент позволяет мистеру Ригзу входить в режим улучшения построек. В нем мистер Ригз может улучшать все постройки на всей карте до следующего доступного уровня.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/find_buildings_clear_tool;Clear Marked Buildings Tool;;Инструмент улучшения всех зданий;;;;;;;
gui/hud/building_description/find_buildings_clear_tool;This tool allows Mr. Riggs to enter building find mode. While it's active, Mr. Riggs will apply the next available level of finds to all buildings over the map.;;Этот инструмент позволяет мистеру Ригзу входить в режим улучшения построек. В нем мистер Ригз может улучшать все постройки на всей карте до следующего доступного уровня.;;;;;;;
;;;;;;;;;;
gui/hud/find_buildings/all;All Marked Buildings;;Все отмеченные здания;;;;;;;
gui/hud/find_buildings/building;Select Building;;Выберите здание;;;;;;;
gui/hud/find_buildings/building_group;Select Building Group;;Выберите Группу зданий;;;;;;;
gui/hud/find_buildings/building_category;Select Building Category;;Выберите Категорию зданий;;;;;;;
