;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/building_name/mass_disassembly;Mass Disassembly Mods;;Массовая Разборка модов;;;;;;;
gui/hud/building_description/mass_disassembly;Allows you to massively disassemble all weapon mods similar to those inserted into the building.;;Позволяет массово разбирать оружейные моды аналогичные вставленным в здание.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/mass_disassembly_enable_mods;Mass Disassembly Enable Mods;;Массовая разборка модов Включения свойств;;;;;;;
gui/hud/building_description/mass_disassembly_enable_mods;Allows you to massively disassemble all Enable weapon mods of similar or lower quality to those inserted into the building.;;Позволяет массово разбирать оружейные моды Включения свойств аналогичные и хуже по качеству вставленным в здание.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/mass_disassembly_by_rarity;Mass Disassembly All Mods by Quality;;Массовая разборка модов по Качеству;;;;;;;
gui/hud/building_description/mass_disassembly_by_rarity;Allows you to massively disassemble all weapon mods of similar quality to those inserted into the building.;;Позволяет массово разбирать все оружейные моды аналогичные по качеству вставленным в здание.;;;;;;;
;;;;;;;;;;
gui/hud/building_name/mass_disassembly_equal_and_lower;Mass Disassembly Mods Equal and Lower Quality;;Массовая Разборка модов включая хуже по качеству;;;;;;;
gui/hud/building_description/mass_disassembly_equal_and_lower;Allows you to massively disassemble all weapon mods of similar or lower quality to those inserted into the building.;;Позволяет массово разбирать оружейные моды аналогичные и хуже по качеству вставленным в здание.;;;;;;;
;;;;;;;;;;
