;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/menu/inventory/weapon_name/auto_blaster;Blaster Auto;Blaster Auto;Бластер;Blaster Auto;Blaster Auto;Bláster;Canhão;冲击波;ブラスター;블래스터
gui/menu/inventory/weapon_name/auto_burst_rifle;Burst Rifle Auto;Karabin Salwowy;Автоматическая винтовка;Fusil à fragments;Salvengewehr;Rifle de precisión;Rifle de Rajada;连发步枪;バーストライフル;버스트 라이플
gui/menu/inventory/weapon_name/auto_heavy_plasma;Heavy Plasma Auto;Ciężkie Działo Plazmowe;Тяжелая плазменная пушка;Plasma lourd;Schweres Plasma;Plasma pesado;Plasma Pesado;重型等离子体;ヘビープラズマ;헤비 플라스마
gui/menu/inventory/weapon_name/auto_nuclear_missile;Nuclear Missile Auto;Wyrzutnia Rakiet Atomowych;Ядерная боеголовка;Missile nucléaire;Atomrakete;Misil nuclear;Canhão Nuclear;核导弹;ニュークミサイル;핵미사일
gui/menu/inventory/weapon_name/auto_railgun;Railgun Auto;Railgun Auto;Рельсотрон;Canon électrique;Railgun Auto;Cañón de riel;Canhão Elétrico;轨道炮;レールガン;레일건
gui/menu/inventory/weapon_name/auto_rocket_launcher;Rocket Launcher Auto;Wyrzutnia Rakiet;Ракетная установка;Lance-roquettes;Raketenwerfer;Lanzacohetes;Lança-Foguetes;火箭发射器;ロケットランチャー;로켓탄 발사기
gui/menu/inventory/weapon_name/auto_shotgun;Shotgun Auto;Strzelba;Дробовик;Fusil de chasse;Schrotflinte;Escopeta;Escopeta;散弹枪;ショットガン;산탄총
gui/menu/inventory/weapon_name/auto_sniper_rifle;High Caliber Rifle Auto;Działko Wysokokalibrowe;Крупнокалиберная винтовка;Fusil de gros calibre;Großkalibergewehr;Rifle de alto calibre;Rifle de Alto Calibre;大口径狙击步枪;大口径ライフル;대구경 라이플
gui/menu/inventory/weapon_name/auto_bouncing_blades;Bouncing Blades Auto;Ostrza Odbijające;Лезвиемет;Lames rebondissantes;Sprungklingen;Hojas rebotadoras;Retalhadora;弹射刀片;バウンシングブレード;회전 칼날
gui/menu/inventory/weapon_name/auto_lava_gun;Immolator Auto;Immolator Auto;Испепелитель;Immolateur;Immolator;Pistola de lava;Lança-Lava;熔岩枪;ラヴァガン;용암 총
