;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/hud/objective_name/story/global.endgame.power_hydroponic;Power the Hydroponic Sustainability Lab.;;;;;;;;;
gui/hud/objective_name/story/global.endgame.power_nanobot;Power the Nanobot Swarm Control Center.;;;;;;;;;
gui/hud/objective_name/story/global.endgame.power_ghl;Power the Gravitational Hyper Lens.;;;;;;;;;
gui/hud/objective_name/story/global.endgame.power_workshop;Power the Arcology Workshop.;;;;;;;;;
DIALOG/story/endgame/mech_mega_rift_charging_01;Prime Rift Station activated. The portal is opening up. It should not take long.;;;;;;;;;
DIALOG/story/endgame/ashley_mega_rift_charging_01;No. I don't think so. This rift is opening very slowly. I'm not sure why you thought this would be any simpler than the first portal.;;;;;;;;;
DIALOG/story/endgame/mech_mega_rift_charging_02;That might have been a small miscalculation. Ashley, I think we have a bigger problem. I am detecting a lot of movement heading towards the Rift Station.;;;;;;;;;
DIALOG/story/endgame/ashley_mega_rift_charging_02;<sigh> Ok, then. Let's treat this as the final test of our base defenses.;;;;;;;;;
DIALOG/story/endgame/mech_mega_rift_charged_01;Prime Rift Station has finished charging. The Quantum Synchronization Core is ready.;;;;;;;;;
DIALOG/story/endgame/ashley_mega_rift_charged_01;Roger that, Mr. Riggs. This is it. It's finally time to go.;;;;;;;;;
gui/hud/objective_name/story/global.endgame.rift_progress;Prime Rift Station charging:;;;;;;;;;
gui/hud/objective_name/story/global.endgame.build_gravitational_hyper_lens_lvl_1;Construct the Gravitational Hyper Lens.;;;;;;;;;
gui/hud/objective_name/story/global.endgame.build_gravitational_hyper_lens_lvl_2;Construct the Gravitational Hyper Lens lvl 2.;;;;;;;;;
gui/hud/objective_name/story/global.endgame.build_gravitational_hyper_lens_lvl_3;Construct the Gravitational Hyper Lens lvl 3.;;;;;;;;;
gui/hud/objective_name/story/global.endgame.build_gravitational_hyper_lens_lvl_4;Construct the Gravitational Hyper Lens lvl 4.;;;;;;;;;
gui/hud/objective_name/story/global.endgame.build_nanobot_center_lvl_1;Construct the Nanobot Center.;;;;;;;;;
gui/hud/objective_name/story/global.endgame.build_nanobot_center_lvl_2;Construct the Nanobot Center lvl 2.;;;;;;;;;
gui/hud/objective_name/story/global.endgame.build_nanobot_center_lvl_3;Construct the Nanobot Center lvl 3.;;;;;;;;;
gui/hud/objective_name/story/global.endgame.build_nanobot_center_lvl_4;Construct the Nanobot Center lvl 4.;;;;;;;;;
gui/hud/objective_name/story/global.endgame.build_hydroponic_lab_lvl_1;Construct the Hydroponic Lab.;;;;;;;;;
gui/hud/objective_name/story/global.endgame.build_hydroponic_lab_lvl_2;Construct the Hydroponic Lab lvl 2.;;;;;;;;;
gui/hud/objective_name/story/global.endgame.build_hydroponic_lab_lvl_3;Construct the Hydroponic Lab lvl 3.;;;;;;;;;
gui/hud/objective_name/story/global.endgame.build_hydroponic_lab_lvl_4;Construct the Hydroponic Lab lvl 4.;;;;;;;;;
