;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
voice_over/announcement/equipment_quick_configurations_mode_save;<style="header_35">Save!</style> Equipment Hotkeys Mode;;<style="header_35">Сохранение!</style> Режим горячих клавиш оборудования;;;;;;;
voice_over/announcement/equipment_quick_configurations_mode_load;Equipment Hotkeys Mode Changed to <style="header_35">Load!</style>;;Режим горячих клавиш оборудования изменен на <style="header_35">Загрузка!</style>;;;;;;;
;;;;;;;;;;
equipment_quick_configurations/configs/name/QuickConfig01;Quick Configuration 1;;Быстрая Конфигурация 1;;;;;;;
equipment_quick_configurations/configs/name/QuickConfig02;Quick Configuration 2;;Быстрая Конфигурация 2;;;;;;;
equipment_quick_configurations/configs/name/QuickConfig03;Quick Configuration 3;;Быстрая Конфигурация 3;;;;;;;
equipment_quick_configurations/configs/name/QuickConfig04;Quick Configuration 4;;Быстрая Конфигурация 4;;;;;;;
equipment_quick_configurations/configs/name/QuickConfig05;Quick Configuration 5;;Быстрая Конфигурация 5;;;;;;;
equipment_quick_configurations/configs/name/QuickConfig06;Quick Configuration 6;;Быстрая Конфигурация 6;;;;;;;
equipment_quick_configurations/configs/name/QuickConfig07;Quick Configuration 7;;Быстрая Конфигурация 7;;;;;;;
equipment_quick_configurations/configs/name/QuickConfig08;Quick Configuration 8;;Быстрая Конфигурация 8;;;;;;;
equipment_quick_configurations/configs/name/QuickConfig09;Quick Configuration 9;;Быстрая Конфигурация 9;;;;;;;
equipment_quick_configurations/configs/name/QuickConfig10;Quick Configuration 10;;Быстрая Конфигурация 10;;;;;;;
;;;;;;;;;;
equipment_quick_configurations/slot;Slot;;Слот;;;;;;;
equipment_quick_configurations/subslot;SubSlot;;Субслот;;;;;;;
equipment_quick_configurations/previous;Prev.;;Пред.;;;;;;;
;;;;;;;;;;
voice_over/announcement/equipment_quick_configurations/saving;Saving;;Сохранение;;;;;;;
voice_over/announcement/equipment_quick_configurations/saving_to; to;; в;;;;;;;
voice_over/announcement/equipment_quick_configurations/saving_end;!;;!;;;;;;;
;;;;;;;;;;
voice_over/announcement/equipment_quick_configurations/confirming;Are you sure you want to save;;Вы действительно хотите сохранить;;;;;;;
voice_over/announcement/equipment_quick_configurations/confirming_to; to;; в;;;;;;;
voice_over/announcement/equipment_quick_configurations/confirming_end;?;;?;;;;;;;
;;;;;;;;;;
voice_over/announcement/equipment_quick_configurations/load/success/loaded;Loaded:;;Загружено:;;;;;;;
voice_over/announcement/equipment_quick_configurations/load/success/loaded_end;!;;!;;;;;;;
;;;;;;;;;;
voice_over/announcement/equipment_quick_configurations/load/empty;Empty:;;Пусто:;;;;;;;
voice_over/announcement/equipment_quick_configurations/load/empty_end;!;;!;;;;;;;
;;;;;;;;;;
voice_over/announcement/equipment_quick_configurations/invalid/invalid;Invalid:;;Некорректно:;;;;;;;
voice_over/announcement/equipment_quick_configurations/invalid/invalid_end;!;;!;;;;;;;
;;;;;;;;;;
voice_over/announcement/equipment_quick_configurations/fail/fail;Failed to Load:;;Ошибка загрузки:;;;;;;;
voice_over/announcement/equipment_quick_configurations/fail/fail_end;!;;!;;;;;;;
;;;;;;;;;;
equipment_quick_configurations/slots/usable;Skills and Consumables;;Навыки и расходники;;;;;;;
equipment_quick_configurations/slots/upgrade;Upgrades;;Улучшения;;;;;;;
equipment_quick_configurations/slots/weapon;Weapons;;Вооружение;;;;;;;
equipment_quick_configurations/slots/dash_skill;Movement skill;;Навык движения;;;;;;;
;;;;;;;;;;
